Identifiant;n° notice BnF;Type de notice ;Type de document;Titre;Auteur;Contributeur;Date;Description;Sujet;Couverture;Langue;
http://catalogue.bnf.fr/ark:/12148/cb31163947s;31163947;monographie;texte imprimé;Histoire du costume en France depuis les temps les plus reculés jusqu'à la fin du XVIIIe siècle / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1875;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb40195388s;40195388;monographie;texte imprimé;Edgard Boutaric 1829-1877 / [bibliogr. signée : "A. B. et P. B."];Maury, Alfred (1817-1892). Auteur du texte | Ravaisson, Félix (1813-1900). Auteur du texte | Quicherat, Jules (1814-1882). Auteur du texte | ;;1877;"Comprend : Discours de M. Alfred Maury, directeur général des Archives nationales, prononcé, le 19 décembre 1877, aux funérailles de M. Edgard Boutaric ; Discours de M. Ravaisson-Mollien, président de l'Académie des inscriptions et belles-lettres ; Discours de M. Jules Quicherat, directeur de l'Ecole nationale des chartes";Boutaric, Edgard (1829-1877) -- Mort;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639484;31163948;monographie;texte imprimé;Histoire du costume en France depuis les temps les plus reculés jusqu'à la fin du XVIIIe siècle (2e éd.) par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Rieux, Max de (1901?-1963) | ;;1877;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb311639364;31163936;monographie;texte imprimé;La Basilique de Fanum, construite par Vitruve, par M. J. Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1878;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163937g;31163937;monographie;texte imprimé;Catalogue général des manuscrits des bibliothèques publiques des départements. Tome V;Quicherat, Jules (1814-1882). Auteur du texte | Michelant, Henri-Victor (1811-1890). Auteur du texte | Quicherat, Jules (1814-1882). Auteur du texte | Didiot, Jules (1840-1903). Auteur du texte | France. Ministère de l'instruction publique. Auteur du texte | ;;1879;"Comprend : Metz / [par Jules Quicherat ; avec une notice sur la bibliothèque par Prost] ; Catalogue des manuscrits de la bibliothèque de Verdun ; Charleville / [par Jules Quicherat]";Manuscrits | Manuscrits -- France | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163965q;31163965;monographie;texte imprimé;Relation inédite sur Jeanne d'Arc : extraite du "Livre noir" de l'hôtel-de-ville de La Rochelle / publiée par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;France (1422-1461, Charles VII);;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163967d;31163967;monographie;texte imprimé;Rodrigue de Villandrando, l'un des combattants pour l'indépendance française au quinzième siècle / par J. Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163976c;31163976;monographie;texte imprimé;Une tombe plate dans l'église de Sainte-Praxède à Rome, par M. J. Quicherat...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1879;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163950p;31163950;monographie;texte imprimé;Jean de Meung et sa maison à Paris / [signé : J. Quicherat];Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1880;;Monuments historiques -- France -- Paris (France) | Sites historiques -- France -- Paris (France) | ;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163964c;31163964;monographie;texte imprimé;Rapport sur diverses communications présentées au Comité des travaux historiques, par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1880;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb387792078;38779207;monographie;texte imprimé;"Recueil de fac-similés à l'usage de l'Ecole des Chartes / [sous la dir. de J. Quicherat et P. Meyer] ; [avec des notices de A. Giry]";Quicherat, Jules (1814-1882) | Meyer, Paul (1840-1917) | Giry, Arthur (1848-1899) | École nationale des chartes (Paris). Auteur du texte | ;Quicherat, Jules (1814-1882). Directeur de publication | Meyer, Paul (1840-1917). Directeur de publication | Giry, Arthur (1848-1899). Éditeur scientifique | ;1880;;;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb32550709k;32550709;monographie;texte imprimé;La rue et le château Hautefeuille à Paris / par M. Jules Quicherat,...;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1882;;Paris (France) -- Rue Hautefeuille;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb31163952c;31163952;monographie;texte imprimé;Mélanges d'archéologie et d'histoire... / Jules Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Giry, Arthur (1848-1899) | Castan, Auguste (1833-1892) | Lasteyrie, Robert de (1849-1921) | ;Giry, Arthur (1848-1899). Éditeur scientifique | Castan, Auguste (1833-1892). Éditeur scientifique | Lasteyrie, Robert de (1849-1921). Éditeur scientifique | ;1885-1886;"Comprend : [I.] Antiquités celtiques, romaines et gallo-romaines, mémoires et fragments, réunis et mis en ordre par Arthur Giry et Auguste Castan. Précédés d'une Notice sur la vie et les travaux de J. Quicherat par Robert de Lasteyrie et d'une Bibliographie de ses oeuvres ; [II.] Archéologie du moyen âge, mémoires et fragments réunis par Robert de Lasteyrie";Archéologie médiévale;;fre | français | ;
http://catalogue.bnf.fr/ark:/12148/cb34021809w;34021809;monographie;texte imprimé;"Mémoires et consultations en faveur de Jeanne d'Arc / par les juges du procès de réhabilitation, d'après les manuscrits authentiques ; publiés pour la première fois par Pierre Lanéry d'Arc,... pour servir de complément et de tome VI aux "Procès de condamnation et de réhabilitation" de Jules Quicherat";Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | Lanéry d'Arc, Pierre (1861-1920) | ;Lanéry d'Arc, Pierre (1861-1920). Éditeur scientifique;1889;[Procès. Jeanne d'Arc (sainte). 1431];France -- 1422-1461 (Charles VII);;lat | latin | ;
http://catalogue.bnf.fr/ark:/12148/cb42199834g | ISBN 9782750423971 | ;42199834;monographie;texte imprimé;De la formation française des anciens noms de lieu : traité pratique suivi de remarques sur des noms de lieu fournis ([Reproduction en fac-similé]) J. Quicherat;Quicherat, Jules (1814-1882). Auteur du texte | Quicherat, Jules (1814-1882) | ;;1867;Collection : (Rediviva) | Code à barres commercial : EAN 9782750423971 | ;Noms géographiques -- France;;fre | français | ;
