Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°6;Col de Tende;Papier;35,5 x 11 cm;fol. 26v-27r;;FRAN126_0085_L.jpg;;;;;
93AJ/316;Carnet n°6;Fréjus;Papier;35,5 x 11 cm;fol. 27v-28r;;FRAN126_0086_L.jpg;Fréjus;83600;83061;43,433888;6,736111
93AJ/316;Carnet n°6;Col de l'Esterel;Papier;35,5 x 11 cm;fol. 28v-29r;;FRAN126_0087_L.jpg;;;;;
93AJ/316;Carnet n°6;Pont du Gard;Papier;35,5 x 11 cm;fol. 29v-30r;;FRAN126_0088_L.jpg;;;;;
93AJ/316;Carnet n°6;Uzès;Papier;35,5 x 11 cm;fol. 30v-31r;;FRAN126_0089_L.jpg;Uzès;30700;30334;44.016667;4.416667
93AJ/316;Carnet n°6;Fond d'Eure;Papier;35,5 x 11 cm;fol. 31v-32r;;FRAN126_0090_L.jpg;;;;;
93AJ/316;Carnet n°6;Vacqueyras;Papier;35,5 x 11 cm;fol. 32v-33r;;FRAN126_0091_L.jpg;Vacqueyras;84190;84136;44.133333;4.983333
93AJ/316;Carnet n°6;Orange;Papier;35,5 x 11 cm;fol. 33v-34r;;FRAN126_0092_L.jpg;Orange;84100;84087;44.133333;44412
93AJ/316;Carnet n°6;Orange;Papier;35,5 x 11 cm;fol. 34v-35r;;FRAN126_0093_L.jpg;Orange;84100;84087;44.133333;44412
93AJ/316;Carnet n°6;Valliguières;Papier;35,5 x 11 cm;fol. 35v-36r;;FRAN126_0094_L.jpg;Valliguières;30210;30340;44;4.583333
93AJ/316;Carnet n°6;Aqueduc de l'Eure;Papier;35,5 x 11 cm;fol. 36v-37r;;FRAN126_0095_L.jpg;;;;;
93AJ/316;Carnet n°6;Aqueduc de l'Eure;Papier;35,5 x 11 cm;fol. 37v-38r;;FRAN126_0096_L.jpg;;;;;
93AJ/316;Carnet n°6;Nîmes;Papier;35,5 x 11 cm;fol. 38v-39r;;FRAN126_0097_L.jpg;Nîmes;30000;30189;43.833333;4.35
93AJ/316;Carnet n°6;Saint-Jean-du-Gard;Papier;35,5 x 11 cm;fol. 39v-40r;;FRAN126_0098_L.jpg;Saint-Jean-du-Gard;30270;30269;44.1;3.883333
93AJ/316;Carnet n°6;Plateau de Gergovie;Papier;35,5 x 11 cm;fol. 40v-41r;;FRAN126_0099_L.jpg;;;;;
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 41v-42r;;FRAN126_0100_L.jpg;;;;;
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 42v-43r;;FRAN126_0101_L.jpg;;;;;
93AJ/316;Carnet n°6;Chevreuse;Papier;35,5 x 11 cm;fol. 43v-44r;;FRAN126_0102_L.jpg;Chevreuse;78460;78160;48.7;44318
