Nom Société,Date_Creation,Ville,Presence_Quicherat,Id_CTHS
Société de géographie de Nantes,1882-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=2971
Société de géographie de Reims,1884-01-01T01:00:00Z,Reims,true,https://cths.fr/an/societe.php?id=2975
Société de géographie de Rouen,1879-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=2962
Société de géographie de Toul,1882-01-01T01:00:00Z,Toul,true,https://cths.fr/an/societe.php?id=2973
Société de géographie de Toulouse (SGT),1882-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=1372
Société de géographie de Tours,1883-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=2515
Société de l'histoire de Normandie,1869-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1694
Société de l'industrie de la Mayenne,1863-01-01T01:00:00Z,Laval,true,https://cths.fr/an/societe.php?id=100257
Société de médecine de Besançon,1802-01-01T01:00:00Z,Besançon,true,https://cths.fr/an/societe.php?id=4658
Société de médecine de Bordeaux,1798-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=4527
Société de médecine de Caen,1820-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=100041
Société de médecine de Marseille,1810-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=100239
Société de médecine de Rouen,1821-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=2898
Société de médecine légale de France (SMLCF),1868-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=2680
"Société de médecine, chirurgie et pharmacie de Toulouse",1801-01-01T01:00:00Z,Toulouse,true,https://cths.fr/an/societe.php?id=100365
Société de pharmacie de Bordeaux (SPB),1834-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=4424
Société de pharmacie de Lyon (SPLyon),1806-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100356
Société de santé de Lyon,1792-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100725
Société de statistique des Deux-Sèvres,1836-01-01T01:00:00Z,Niort,true,https://cths.fr/an/societe.php?id=2819
Société de statistique des sciences naturelles et des arts industriels du département de l'Isère,1838-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=4517
"Société de statistique, d'histoire et d'archéologie de Marseille et de Provence",1827-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=2868
"Société de statistique, des sciences naturelles et des arts industriels de l’Isère",1838-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=4787
Société de topographie historique de Lyon,1872-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1881
Société des amis des arts de Grenoble (SADAG),1657-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=100303
Société des amis des arts de la Côte d'Or,1837-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=4926
Société des amis des arts de Lyon,1836-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=100384
Société des amis des arts de Pau,1863-01-01T01:00:00Z,Pau,true,https://cths.fr/an/societe.php?id=954
Société des amis des arts et des musées de Reims (SAAM),1833-01-01T01:00:00Z,Reims,true,https://cths.fr/an/societe.php?id=772
Société des amis des arts et des sciences de Tournus (SAAST),1877-01-01T01:00:00Z,Tournus,true,https://cths.fr/an/societe.php?id=109
Société des amis des monuments rouennais (AMR),1886-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1805
Société des amis des sciences naturelles et du Museum de Rouen (SASNMR),1865-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=723
Société des amis des universités de Clermont-Ferrand,1884-01-01T01:00:00Z,Clermont-Ferrand,true,https://cths.fr/an/societe.php?id=180
Société des antiquaires de l'Ouest (SAO),1834-01-01T01:00:00Z,Poitiers,true,https://cths.fr/an/societe.php?id=701
Société des antiquaires de Normandie (SAN),1824-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=1595
Société des antiquaires de Picardie,1837-01-01T01:00:00Z,Amiens,true,https://cths.fr/an/societe.php?id=41
Société des antiquaires du Centre,1866-01-01T01:00:00Z,Bourges,true,https://cths.fr/an/societe.php?id=4923
Société des architectes de Bordeaux,1862-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=100575
Société des architectes de Seine-et-Oise,1844-01-01T01:00:00Z,Versailles,true,https://cths.fr/an/societe.php?id=100592
Société des archives historiques de la Gironde,1859-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=100318
Société des archives historiques de la Saintonge et de l'Aunis (SAHSA),1874-01-01T01:00:00Z,Saintes,true,https://cths.fr/an/societe.php?id=1633
"Société des arts, sciences et belles lettres de Saintes",1867-01-01T01:00:00Z,Saintes,true,https://cths.fr/an/societe.php?id=100650
Société des beaux-arts de Caen,1855-01-01T01:00:00Z,Caen,true,https://cths.fr/an/societe.php?id=1626
Société des bibliophiles dauphinois,1869-01-01T01:00:00Z,Grenoble,true,https://cths.fr/an/societe.php?id=100282
Société des bibliophiles de Guyenne (SBG),1866-01-01T01:00:00Z,Bordeaux,true,https://cths.fr/an/societe.php?id=941
Société des bibliophiles lyonnais,1884-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=1882
Société des bibliophiles normands,1863-01-01T01:00:00Z,Rouen,true,https://cths.fr/an/societe.php?id=1884
Société des études du Comminges,1884-01-01T01:00:00Z,Saint-Gaudens,true,https://cths.fr/an/societe.php?id=1594
